Lfd. Nummer;Name des Flughafens;Ort;Land;IATA;ICAO;Latitude;Longitude;Altitude;Zeitzone;DST;Zeitzonen-Datenbank;geo_punkt
330;Jena-Schöngleina Airport;Jena;Deutschland;0;EDBJ;50.915279388427734;11.714444160461426;380;1.0;E;Europe/Berlin;50.9152793884, 11.7144441605
10723;Elsenthal Grafe Airport;Elsenthal;Deutschland;0;EDNF;48.8224983215332;13.367500305175781;432;1.0;E;0;48.8224983215, 13.3675003052
320;Eisenhüttenstadt Airport;Eisenhuettenstadt;Deutschland;0;EDAE;52.195856;14.58753;44;1.0;E;Europe/Berlin;52.195856, 14.58753
317;Bautzen Airport;Bautzen;Deutschland;0;EDAB;51.19361114501953;14.519721984863281;173;1.0;E;Europe/Berlin;51.193611145, 14.5197219849
7903;Marl-Loemühle Airport;Recklinghausen;Deutschland;0;EDLM;51.647202;7.16333;73;1.0;U;Europe/Berlin;51.647202, 7.16333
8090;Ganderkesee Atlas Airfield Airport;Ganderkesee;Deutschland;0;EDWQ;53.036109924316406;8.505556106567383;29;1.0;E;Europe/Berlin;53.0361099243, 8.50555610657
8432;Gera-Leumnitz Airport;Gera;Deutschland;0;EDAJ;50.88166809082031;12.135832786560059;309;1.0;E;Europe/Berlin;50.8816680908, 12.1358327866
8620;Karlsruhe-Forchheim Airport;Karlsruhe;Deutschland;0;EDTK;48.9843;8.3355;116;1.0;E;Europe/Berlin;48.9843, 8.3355
8092;Damme Airport;Damme;Deutschland;0;EDWC;52.48749923706055;8.185556411743164;46;1.0;E;Europe/Berlin;52.4874992371, 8.18555641174
8119;Bad Neuenahr-Ahrweiler Airport;Bad Neuenahr;Deutschland;0;EDRA;50.557777404785156;7.136388778686523;205;1.0;E;Europe/Berlin;50.5577774048, 7.13638877869
770;Hohn Airport;Hohn;Deutschland;0;ETNH;54.312198638916016;9.538169860839844;12;1.0;E;Europe/Berlin;54.3121986389, 9.53816986084
390;Koblenz-Winningen Airport;Koblenz;Deutschland;0;EDRK;50.325558;7.528611;195;1.0;E;Europe/Berlin;50.325558, 7.528611
377;Mindelheim-Mattsies Airport;Mindelheim;Deutschland;0;EDMN;48.1069450378418;10.524999618530273;566;1.0;E;Europe/Berlin;48.1069450378, 10.5249996185
319;Dessau Airport;Dessau;Deutschland;0;EDAD;51.831693541;12.1909618378;57;1.0;E;Europe/Berlin;51.831693541, 12.1909618378
334;Anklam Airport;Anklam;Deutschland;0;EDCA;53.83277893066406;13.668610572814941;5;1.0;E;Europe/Berlin;53.8327789307, 13.6686105728
392;Speyer Airport;Speyer;Deutschland;0;EDRY;49.304722;8.451389;95;1.0;E;Europe/Berlin;49.304722, 8.451389
7855;Roitzschjora Airport;Roitzschjora;Deutschland;0;EDAW;51.57777786254883;12.494443893432617;88;1.0;U;Europe/Berlin;51.5777778625, 12.4944438934
8103;Brilon/Hochsauerlandkreis Airport;Brilon;Deutschland;0;EDKO;51.40250015258789;8.641667366027832;460;1.0;E;Europe/Berlin;51.4025001526, 8.64166736603
759;Mendig Airport;Mendig;Deutschland;0;ETHM;50.3660011292;7.31533002853;182;1.0;E;Europe/Berlin;50.3660011292, 7.31533002853
6450;Tannheim Airport;Tannheim;Deutschland;0;EDMT;48.0099983215;10.098610878;580;1.0;E;Europe/Berlin;48.0099983215, 10.098610878
375;Biberach a.d. Riß Airport;Biberach;Deutschland;0;EDMB;48.11111068725586;9.762778282165527;580;1.0;E;Europe/Berlin;48.1111106873, 9.76277828217
4166;Karlsruhe Baden-Baden Airport;Karlsruhe/Baden-Baden;Deutschland;FKB;EDSB;48.7793998718;8.08049964905;124;1.0;E;Europe/Berlin;48.7793998718, 8.08049964905
4207;Norden-Norddeich Airport;Norden;Deutschland;NOD;EDWS;53.633056640599996;7.19027805328;1;1.0;E;Europe/Berlin;53.633056640599996, 7.19027805328
5558;Heide-Büsum Airport;Büsum;Deutschland;HEI;EDXB;54.153331756600004;8.90166664124;2;1.0;E;Europe/Berlin;54.153331756600004, 8.90166664124
6840;Dinslaken/Schwarze Heide Airport;Dinslaken;Deutschland;0;EDLD;51.616112;6.865278;66;1.0;E;Europe/Berlin;51.616112, 6.865278
6910;Harle Airport;Harlesiel;Deutschland;0;EDXP;53.706668853759766;7.820278167724609;2;1.0;E;Europe/Berlin;53.706668853759766, 7.820278167724609
6975;Langeoog Airport;Langeoog;Deutschland;LGO;EDWL;53.74250030517578;7.497777938842773;2;1.0;E;Europe/Berlin;53.74250030517578, 7.497777938842773
7726;Linkenheim Airport;Linkenheim;Deutschland;0;EDRI;49.141666412353516;8.394721984863281;99;1.0;E;Europe/Berlin;49.141666412353516, 8.394721984863281
7831;Hunt Field;Lindau;Deutschland;LND;KLND;42.8152008057;-108.730003357;1703;-7.0;E;America/Denver;42.8152008057, -108.730003357
7905;Lahr Airport;Lahr;Deutschland;LHA;EDTL;48.3693008423;7.82772016525;156;1.0;E;Europe/Berlin;48.3693008423, 7.82772016525
7918;Regensburg-Oberhub Airport;Regensburg;Deutschland;0;EDNR;49.141944885253906;12.081944465637207;396;1.0;E;Europe/Berlin;49.141944885253906, 12.081944465637207
8006;Landshut Airport;Landshut;Deutschland;0;EDML;48.51166534423828;12.033332824707031;400;1.0;E;Europe/Berlin;48.51166534423828, 12.033332824707031
8035;Allstedt Airport;Allstedt;Deutschland;0;EDBT;51.38055419921875;11.446666717529297;284;1.0;E;Europe/Berlin;51.38055419921875, 11.446666717529297
8054;Spremberg-Welzow Airport;Welzow;Deutschland;0;EDCY;51.575557708740234;14.136943817138672;114;1.0;E;Europe/Berlin;51.575557708740234, 14.136943817138672
8085;Rotenburg (Wümme) Airport;Rotenburg Wuemme;Deutschland;0;EDXQ;53.128334045410156;9.348610877990723;30;1.0;E;Europe/Berlin;53.128334045410156, 9.348610877990723
8087;Osnabrück-Atterheide Airport;Osnabrueck;Deutschland;0;EDWO;52.286388;7.969722;87;1.0;E;Europe/Berlin;52.286388, 7.969722
8089;Flugplatz Hartenholm;Hasenmoor;Deutschland;0;EDHM;53.915001;10.035556;33;1.0;E;Europe/Berlin;53.915001, 10.035556
8091;Nienburg-Holzbalge Airport;Nienburg Weser;Deutschland;0;EDXI;52.709720611572266;9.162500381469727;25;1.0;E;Europe/Berlin;52.709720611572266, 9.162500381469727
8092;Damme Airfield;Damme;Deutschland;0;EDWC;52.487499;8.185556;46;1.0;E;Europe/Berlin;52.487499, 8.185556
8094;Obermehler-Schlotheim Airport;Obermehler;Deutschland;0;EDCO;51.26777648925781;10.634721755981445;277;1.0;E;Europe/Berlin;51.26777648925781, 10.634721755981445
8095;Hodenhagen Airport;Hodenhagen;Deutschland;0;EDVH;52.761865;9.61056;24;1.0;E;Europe/Berlin;52.761865, 9.61056
8100;Hamm-Lippewiesen Airport;Hamm;Deutschland;0;EDLH;51.689720153808594;7.816111087799072;58;1.0;E;Europe/Berlin;51.689720153808594, 7.816111087799072
8104;Hameln-Pyrmont Airport;Bad Pyrmont;Deutschland;0;EDVW;51.96666717529297;9.291666984558105;359;1.0;E;Europe/Berlin;51.96666717529297, 9.291666984558105
8107;St. Michaelisdonn Airport;Sankt Michaelisdonn;Deutschland;0;EDXM;53.978057861328125;9.144721984863281;38;1.0;E;Europe/Berlin;53.978057861328125, 9.144721984863281
8109;Karlshöfen Airport;Karlshoefen;Deutschland;0;EDWK;53.33277893066406;9.028332710266113;6;1.0;E;Europe/Berlin;53.33277893066406, 9.028332710266113
8112;Münster-Telgte Airport;Muenster;Deutschland;0;EDLT;51.94444274902344;7.773889064788818;54;1.0;E;Europe/Berlin;51.94444274902344, 7.773889064788818
8113;St. Peter-Ording Airport;Sankt Peter-Ording;Deutschland;PSH;EDXO;54.30888748168945;8.686944007873535;2;1.0;E;Europe/Berlin;54.30888748168945, 8.686944007873535
8114;Lüchow-Rehbeck Airport;Luechow;Deutschland;0;EDHC;53.016109466552734;11.144444465637207;15;1.0;E;Europe/Berlin;53.016109466552734, 11.144444465637207
8116;Burg Airport;Burg;Deutschland;0;EDBG;52.241668701171875;11.856110572814941;53;1.0;E;Europe/Berlin;52.241668701171875, 11.856110572814941
8120;Bad Dürkheim Airport;Bad Duerkheim;Deutschland;0;EDRF;49.47305679321289;8.196389198303223;107;1.0;E;Europe/Berlin;49.47305679321289, 8.196389198303223
8124;Leverkusen Airport;Leverkusen;Deutschland;0;EDKL;51.01527786254883;7.005556106567383;48;1.0;E;Europe/Berlin;51.01527786254883, 7.005556106567383
8500;Fuerstenwalde Airport;Furstenwalde;Deutschland;0;EDAL;52.3905982971;14.0972003937;56;1.0;E;Europe/Berlin;52.3905982971, 14.0972003937
8603;Saarmund Airport;Saarmund;Deutschland;0;EDCS;52.30833435058594;13.100556373596191;53;1.0;E;Europe/Berlin;52.30833435058594, 13.100556373596191
8671;Grefrath-Niershorst Airport;Grefrath;Deutschland;0;EDLF;51.33388900756836;6.3594441413879395;32;1.0;E;Europe/Berlin;51.33388900756836, 6.3594441413879395
8689;Segeletz Airport;Segeletz;Deutschland;0;EDAI;52.82666778564453;12.541943550109863;43;1.0;E;Europe/Berlin;52.82666778564453, 12.541943550109863
8855;Neustadt-Glewe Airport;Neustadt-Glewe;Deutschland;0;EDAN;53.35972213745117;11.615278244018555;35;1.0;E;Europe/Berlin;53.35972213745117, 11.615278244018555
8860;Tutow Airport;Wildenrath;Deutschland;0;EDUW;53.92194366455078;13.218889236450195;8;1.0;E;Europe/Berlin;53.92194366455078, 13.218889236450195
9079;Thalmässing-Waizenhofen Airport;Thalmaessing;Deutschland;0;EDPW;49.06416702270508;11.209166526794434;577;1.0;E;Europe/Berlin;49.06416702270508, 11.209166526794434
9100;Ansbach-Petersdorf Airport;Ansbach;Deutschland;0;EDQF;49.361111;10.669444;418;1.0;E;Europe/Berlin;49.361111, 10.669444
9141;Verden-Scharnhorst Airfield;Verden;Deutschland;0;EDWV;52.965279;9.282778;44;1.0;E;Europe/Berlin;52.965279, 9.282778
11032;Stade Airport;Stade;Deutschland;0;EDHS;53.56111145019531;9.499167442321777;19;1.0;E;0;53.56111145019531, 9.499167442321777
11132;Gießen-Lützellinden Airport;Giessen;Deutschland;0;EDFL;50.543888092041016;8.590277671813965;230;1.0;E;0;50.543888092041016, 8.590277671813965
11718;Gelnhausen Airport;Gelnhausen;Deutschland;0;EDFG;50.19722366333008;9.170000076293945;136;1.0;E;0;50.19722366333008, 9.170000076293945
11738;Lauenbrück Airport;Lauenbrueck;Deutschland;0;EDHU;53.20750045776367;9.573332786560059;30;1.0;E;0;53.20750045776367, 9.573332786560059
11786;Airport Bamberg-Breitenau;Bamberg;Deutschland;0;EDQA;49.920403;10.914233;247;0.0;0;0;49.920403, 10.914233
12133;Arnbruck Airport;Arnbruck;Deutschland;0;EDNB;49.12472152709961;12.985555648803711;523;1.0;U;0;49.12472152709961, 12.985555648803711
13199;Northeim Airport;Northeim;Deutschland;0;EDVN;51.706390380859375;10.039722442626953;123;1.0;E;0;51.706390380859375, 10.039722442626953
13248;Torgau-Beilrode Airport;Gransee;Deutschland;0;EDOG;51.570907;13.051641;0;1.0;E;0;51.570907, 13.051641
324;Halle-Oppin Airport;Halle;Deutschland;0;EDAQ;51.552223;12.053889;106;1.0;E;Europe/Berlin;51.552223, 12.053889
326;Rechlin-Lärz Airport;Rechlin-laerz;Deutschland;REB;EDAX;53.306388855;12.7522220612;67;1.0;E;Europe/Berlin;53.306388855, 12.7522220612
328;Schönhagen Airport;Schoenhagen;Deutschland;QXH;EDAZ;52.203609;13.156389;46;1.0;E;Europe/Berlin;52.203609, 13.156389
330;Jena-Schöngleina Airfield;Jena;Deutschland;0;EDBJ;50.915279;11.714444;380;1.0;E;Europe/Berlin;50.915279, 11.714444
339;Erfurt Airport;Erfurt;Deutschland;ERF;EDDE;50.979801177978516;10.958100318908691;316;1.0;E;Europe/Berlin;50.979801177978516, 10.958100318908691
341;Münster Osnabrück Airport;Munster;Deutschland;FMO;EDDG;52.134601593;7.68483018875;49;1.0;E;Europe/Berlin;52.134601593, 7.68483018875
342;Hamburg Airport;Hamburg;Deutschland;HAM;EDDH;53.630401611328;9.9882297515869;16;1.0;E;Europe/Berlin;53.630401611328, 9.9882297515869
344;Köln Bonn Airport;Cologne;Deutschland;CGN;EDDK;50.8658981323;7.1427397728;92;1.0;E;Europe/Berlin;50.8658981323, 7.1427397728
346;Flughafen München;Munich;Deutschland;MUC;EDDM;48.353802;11.7861;453;1.0;E;Europe/Berlin;48.353802, 11.7861
353;Bremen Airport;Bremen;Deutschland;BRE;EDDW;53.0475006104;8.78666973114;4;1.0;E;Europe/Berlin;53.0475006104, 8.78666973114
354;Frankfurt-Egelsbach Airport;Egelsbach;Deutschland;QEF;EDFE;49.959999;8.645833;117;1.0;E;Europe/Berlin;49.959999, 8.645833
356;Mannheim-City Airport;Mannheim;Deutschland;MHG;EDFM;49.473057;8.514167;94;1.0;E;Europe/Berlin;49.473057, 8.514167
362;Hamburg-Finkenwerder Airport;Hamburg;Deutschland;XFW;EDHI;53.5352783203125;9.835556030273438;7;1.0;E;Europe/Berlin;53.5352783203125, 9.835556030273438
363;Kiel-Holtenau Airport;Kiel;Deutschland;KEL;EDHK;54.37944412231445;10.145277976989746;31;1.0;E;Europe/Berlin;54.37944412231445, 10.145277976989746
365;Flugplatz Dahlemer Binz;Dahlemer Binz;Deutschland;0;EDKV;50.405555725;6.5288891792;578;1.0;E;Europe/Berlin;50.405555725, 6.5288891792
367;Arnsberg-Menden Airport;Arnsberg;Deutschland;0;EDLA;51.483890533447266;7.8983330726623535;242;1.0;E;Europe/Berlin;51.483890533447266, 7.8983330726623535
372;Stadtlohn-Vreden Airport;Stadtlohn;Deutschland;0;EDLS;51.99583435058594;6.8405561447143555;48;1.0;E;Europe/Berlin;51.99583435058594, 6.8405561447143555
379;Straubing Airport;Straubing;Deutschland;RBM;EDMS;48.90083312988281;12.516667366027832;319;1.0;E;Europe/Berlin;48.90083312988281, 12.516667366027832
384;Stendal-Borstel Airport;Stendal;Deutschland;0;EDOV;52.62888717651367;11.818611145019531;56;1.0;E;Europe/Berlin;52.62888717651367, 11.818611145019531
385;Aalen-Heidenheim/Elchingen Airport;Aalen-heidenheim;Deutschland;0;EDPA;48.77777862548828;10.264721870422363;584;1.0;E;Europe/Berlin;48.77777862548828, 10.264721870422363
388;Hof-Plauen Airport;Hof;Deutschland;HOQ;EDQM;50.288612365722656;11.856389045715332;597;1.0;E;Europe/Berlin;50.288612365722656, 11.856389045715332
392;Speyer Airfield;Speyer;Deutschland;0;EDRY;49.304722;8.451389;95;1.0;E;Europe/Berlin;49.304722, 8.451389
393;Zweibrücken Airport;Zweibruecken;Deutschland;ZQW;EDRZ;49.2094;7.40056;345;1.0;E;Europe/Berlin;49.2094, 7.40056
398;Finsterwalde/Schacksdorf Airport;Soest;Deutschland;0;EDUS;51.607498;13.743611;117;1.0;E;Europe/Berlin;51.607498, 13.743611
400;Kassel-Calden Airport;Kassel;Deutschland;KSF;EDVK;51.417273;9.384967;250;1.0;E;Europe/Berlin;51.417273, 9.384967
407;Norderney Airport;Norderney;Deutschland;NRD;EDWY;53.70694351196289;7.230000019073486;2;1.0;E;Europe/Berlin;53.70694351196289, 7.230000019073486
753;Giebelstadt Army Air Field;Giebelstadt;Deutschland;GHF;ETEU;49.648101806599996;9.966489791870002;299;1.0;E;Europe/Berlin;49.648101806599996, 9.966489791870002
755;Celle Airport;Celle;Deutschland;ZCN;ETHC;52.59120178222656;10.022100448608398;39;1.0;E;Europe/Berlin;52.59120178222656, 10.022100448608398
764;Hanau Army Air Field;Hanau;Deutschland;ZNF;ETID;50.169201;8.96159;112;1.0;E;Europe/Berlin;50.169201, 8.96159
771;Jever Air Base;Jever;Deutschland;0;ETNJ;53.533501;7.88867;7;1.0;E;Europe/Berlin;53.533501, 7.88867
772;Rostock-Laage Airport;Laage;Deutschland;RLG;ETNL;53.9182014465;12.278300285299999;42;1.0;E;Europe/Berlin;53.9182014465, 12.278300285299999
774;Schleswig Air Base;Schleswig;Deutschland;WBG;ETNS;54.459301;9.51633;21;1.0;E;Europe/Berlin;54.459301, 9.51633
780;Wiesbaden Army Airfield;Wiesbaden;Deutschland;WIE;ETOU;50.049800872802734;8.325400352478027;141;1.0;E;Europe/Berlin;50.049800872802734, 8.325400352478027
785;Holzdorf Air Base;Holzdorf;Deutschland;0;ETSH;51.767799;13.1677;81;1.0;E;Europe/Berlin;51.767799, 13.1677
787;Lechfeld Air Base;Lechfeld;Deutschland;0;ETSL;48.185504;10.8612;555;1.0;E;Europe/Berlin;48.185504, 10.8612
3986;Memmingen Allgau Airport;Memmingen;Deutschland;FMM;EDJA;47.988800048799995;10.2395000458;633;1.0;E;Europe/Berlin;47.988800048799995, 10.2395000458
4165;Aachen-Merzbrück Airport;Aachen;Deutschland;AAH;EDKA;50.823055267333984;6.186388969421387;190;1.0;E;Europe/Berlin;50.823055267333984, 6.186388969421387
4198;Weeze Airport;Weeze;Deutschland;NRN;EDLV;51.6024017334;6.14216995239;32;1.0;E;Europe/Berlin;51.6024017334, 6.14216995239
4208;Juist Airport;Juist;Deutschland;JUI;EDWJ;53.68111038208008;7.055832862854004;2;1.0;E;Europe/Berlin;53.68111038208008, 7.055832862854004
5559;Helgoland-Düne Airport;Helgoland;Deutschland;HGL;EDXH;54.185279846200004;7.91583299637;2;1.0;E;Europe/Berlin;54.185279846200004, 7.91583299637
6423;Rügen Airport;Ruegen;Deutschland;GTI;EDCG;54.3833312988;13.3255558014;21;1.0;U;Europe/Berlin;54.3833312988, 13.3255558014
6450;Tannheim Airfield;Tannheim;Deutschland;0;EDMT;48.009998;10.098611;580;1.0;E;Europe/Berlin;48.009998, 10.098611
6830;Flugplatz Finsterwalde/Heinrichsruh;Finsterwalde;Deutschland;0;EDAS;51.634445;13.675556;117;1.0;E;Europe/Berlin;51.634445, 13.675556
6841;Höxter-Holzminden Airport;Hoexter Holzminden;Deutschland;0;EDVI;51.80666732788086;9.37833309173584;385;1.0;E;Europe/Berlin;51.80666732788086, 9.37833309173584
6911;Wangerooge Airport;Wangerooge;Deutschland;AGE;EDWG;53.782779693603516;7.913888931274414;2;1.0;E;Europe/Berlin;53.782779693603516, 7.913888931274414
7134;Nabern/Teck Airport;Kirchheim-Teck;Deutschland;0;EDTN;48.61277771;9.477222442629998;370;1.0;E;Europe/Berlin;48.61277771, 9.477222442629998
7538;Würzburg-Schenkenturm Airport;Wuerzburg;Deutschland;0;EDFW;49.81778;9.8975;302;1.0;E;Europe/Berlin;49.81778, 9.8975
7544;Hopsten Air Base;Hopsten;Deutschland;0;ETNP;52.33869934082031;7.541329860687256;129;1.0;E;Europe/Berlin;52.33869934082031, 7.541329860687256
7800;Skå-Edeby Airport;Essen;Deutschland;0;ESSE;59.34510040283203;17.74049949645996;0;1.0;E;Europe/Stockholm;59.34510040283203, 17.74049949645996
7855;Roitzschjora Airfield;Roitzschjora;Deutschland;0;EDAW;51.577778;12.494444;88;1.0;U;Europe/Berlin;51.577778, 12.494444
7893;Nannhausen Airport;Nannhausen;Deutschland;0;EDRN;49.9702796936;7.47916698456;373;1.0;E;Europe/Berlin;49.9702796936, 7.47916698456
7903;Marl-Loemühle Airfield;Recklinghausen;Deutschland;0;EDLM;51.647202;7.16333;73;1.0;U;Europe/Berlin;51.647202, 7.16333
7933;Cochstedt Airport;Cochstedt;Deutschland;CSO;EDBC;51.8563995361;11.42029953;181;1.0;E;Europe/Berlin;51.8563995361, 11.42029953
8086;Wipperfürth-Neye Airport;Wipperfuerth;Deutschland;0;EDKN;51.124168395996094;7.373610973358154;263;1.0;E;Europe/Berlin;51.124168395996094, 7.373610973358154
8088;Flugplatz Ballenstedt;Ballenstedt;Deutschland;0;EDCB;51.745834;11.229722;163;1.0;E;Europe/Berlin;51.745834, 11.229722
8090;Ganderkesee Atlas Airfield;Ganderkesee;Deutschland;0;EDWQ;53.03611;8.505556;29;1.0;E;Europe/Berlin;53.03611, 8.505556
8098;Celle-Arloh Airport;Celle;Deutschland;0;EDVC;52.68722152709961;10.11138916015625;63;1.0;E;Europe/Berlin;52.68722152709961, 10.11138916015625
8099;Uelzen Airport;Uelzen;Deutschland;0;EDVU;52.9838905334;10.4650001526;75;1.0;E;Europe/Berlin;52.9838905334, 10.4650001526
8103;Brilon/Hochsauerlandkreis Airfield;Brilon;Deutschland;0;EDKO;51.4025;8.641667;460;1.0;E;Europe/Berlin;51.4025, 8.641667
8111;Rinteln Airport;Rinteln;Deutschland;0;EDVR;52.17527770996094;9.053333282470703;55;1.0;E;Europe/Berlin;52.17527770996094, 9.053333282470703
8115;Klietz/Scharlibbe Airport;Scharlibbe;Deutschland;0;EDCL;52.709442138671875;12.073332786560059;29;1.0;E;Europe/Berlin;52.709442138671875, 12.073332786560059
8126;Wershofen/Eifel Airfield;Wershofen;Deutschland;0;EDRV;50.451389;6.783333;482;1.0;E;Europe/Berlin;50.451389, 6.783333
8459;Oerlinghausen Airport;TELGTE;Deutschland;0;EDLO;51.932220458984375;8.661666870117188;170;1.0;E;Europe/Berlin;51.932220458984375, 8.661666870117188
8501;Eberswalde-Finow Airport;Eberswalde;Deutschland;0;EDAV;52.82722091674805;13.693611145019531;37;1.0;E;Europe/Berlin;52.82722091674805, 13.693611145019531
